"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"g__Bifidobacterium",0.262587019063004,-0.744832922112363,0.67073292236673,2.11988811357407,0.391492664675601,-0.351354827334069,0.71539360460441,0.743048603153833,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Cutibacterium",-0.200187571994121,0.138779266359534,0.161107051647378,0.37469346779673,-1.24257485905881,0.370380800005889,0.339950998053145,0.746646027696822,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Collinsella",-0.0303816937927391,-0.158895496400876,0.861367184960029,1.15872861652869,-0.0352714780911337,-0.137129172555429,0.973553245512159,0.897554053150739,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Adlercreutzia",0.69813177776234,-1.40151330692644,0.142825234605567,0.71599632242782,4.88801422024851,-1.95743087363096,0.0163765145947548,0.145215873636042,0.753319671358721,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Eggerthella",0.58045379591398,-1.20538333717917,0.628966596882349,0.792307788769557,0.922869034367109,-1.52135742480976,0.424140440466835,0.225519449489976,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Streptococcus",0.631005101896592,-1.48166908777954,0.922717241717111,1.00113553128021,0.683855327903417,-1.47998851452694,0.531627494995062,0.212977472487318,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Clostridium",-0.13671004157763,0.107631416319642,0.281015908710566,0.427397069367602,-0.486485061308166,0.251830028874317,0.659948235549565,0.817438693654182,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Eubacterium",-0.140685120294486,-0.0399027894638069,0.366448203297549,0.748003505258156,-0.383915432054259,-0.0533457252316423,0.726634949710546,0.960810058253398,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Intestinimonas",-0.677944893815488,1.13623090364462,0.789860985867382,0.959024734749885,-0.858309127739746,1.18477747494276,0.439110232435334,0.301688971620903,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Anaerotruncus",0.108583010103892,-0.436824904194139,0.245976704390118,0.573270279229149,0.441436152960567,-0.761987704615558,0.681710225203427,0.488520798910382,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Dysosmobacter",-0.4423910460776,0.665123208168844,0.26028733121821,0.544830854563941,-1.69962573286644,1.22078843846166,0.16442704290994,0.289205554688745,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Faecalibacterium",0.0584406716921138,-0.336540227370584,0.263241455476779,0.433590795509313,0.222004059300869,-0.776170137503197,0.835184757842648,0.48098586785823,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Flavonifractor",0.0337773480691062,-0.287213580124567,0.14365980778585,0.645660059322919,0.235120376323052,-0.444837149173758,0.825661587120326,0.679447495047926,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Lawsonibacter",-0.0446756170564289,-0.130307649873496,0.154881468666999,0.884484816781114,-0.288450370731461,-0.147326044948653,0.787332121453748,0.890002277638692,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Oscillibacter",-0.285485918410491,0.351312952834625,0.333206694622282,0.781935489822199,-0.856783261014947,0.449286363654512,0.439860713092993,0.676493524399124,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Pusillibacter",-0.00203389368700139,-0.215591096612352,0.256381823429994,0.401789249273944,-0.00793306506596693,-0.536577563988926,0.994050279207942,0.62001200135553,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Ruminococcus",0.136241331042676,-0.492141546071707,0.780179641372493,1.14559768587821,0.174628154617057,-0.429593697803634,0.869854352955195,0.689620663310196,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Ruthenibacterium",-0.68962223529297,1.15958558659958,0.576837483763188,0.668867148869195,-1.19552257733668,1.73365606093828,0.297912074670323,0.158005545021881,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Subdoligranulum",-0.254898375639787,0.290137867293219,0.733785819674551,1.00471340565709,-0.347374354757686,0.288776745348059,0.745817845627372,0.787099633753607,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Vescimonas",-0.0562203382931245,-0.107218207400105,0.374356988419371,0.480270455381357,-0.15017841267102,-0.223245478040011,0.887892303805363,0.834281920668866,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Agathobacter",0.576347651208816,-1.37235418640399,0.259030618817101,0.831568734772669,2.2250174664323,-1.65031960560561,0.0901082779832269,0.174222340697498,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"g__Anaerobutyricum",0.488462784429196,-1.61277255127301,0.145295519724632,0.443389522769998,3.36185716775675,-3.63737181067676,0.0436732013503718,0.0358076885086709,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
