"OTU","Sample","Abundance","diet","site","subject_id","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Genus_plot"
"2974251","SRR8146971",0.584821191669601,"omnivore","Turin","VOV28","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","g__Segatella"
"239759","SRR8146974",0.503131039205885,"vegan","Turin","VOV113","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","g__Alistipes"
"2974251","SRR8146969",0.303178714386626,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","g__Segatella"
"239759","SRR8146973",0.286072134671862,"vegan","Turin","VOV114","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","g__Alistipes"
"2974251","SRR8146976",0.274803216437932,"omnivore","Turin","VOV70","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","g__Segatella"
"239759","SRR8146963",0.264135368328546,"vegan","Turin","VOV56","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","g__Alistipes"
"239759","SRR8146969",0.246542657562201,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","g__Alistipes"
"239934","SRR8146974",0.238128225009741,"vegan","Turin","VOV113","k__","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","g__Akkermansia"
"816","SRR8146963",0.199166393623749,"vegan","Turin","VOV56","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides"
"216851","SRR8146973",0.182278570103205,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","g__Faecalibacterium"
"239934","SRR8146963",0.164115302849044,"vegan","Turin","VOV56","k__","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","g__Akkermansia"
"216851","SRR8146969",0.152450749548701,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","g__Faecalibacterium"
"816","SRR8146973",0.147414118535296,"vegan","Turin","VOV114","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides"
"816","SRR8146976",0.141252403287291,"omnivore","Turin","VOV70","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides"
"1678","SRR8146973",0.139448208790013,"vegan","Turin","VOV114","k__","p__Actinomycetota","c__Actinomycetes","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","g__Bifidobacterium"
"239759","SRR8146976",0.130343969916932,"omnivore","Turin","VOV70","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","g__Alistipes"
"909656","SRR8146963",0.12810665691332,"vegan","Turin","VOV56","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","g__Phocaeicola"
"909656","SRR8146969",0.103200298249745,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","g__Phocaeicola"
"216851","SRR8146971",0.100485312775883,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","g__Faecalibacterium"
"216851","SRR8146976",0.0989065734750888,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","g__Faecalibacterium"
"216851","SRR8146963",0.0978687412848511,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","g__Faecalibacterium"
"33024","SRR8146976",0.0833631630028452,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","Other"
"1678","SRR8146974",0.0784471934789368,"vegan","Turin","VOV113","k__","p__Actinomycetota","c__Actinomycetes","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","g__Bifidobacterium"
"570","SRR8146971",0.0737159231797153,"omnivore","Turin","VOV28","k__","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Other"
"216851","SRR8146974",0.0699495019069623,"vegan","Turin","VOV113","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","g__Faecalibacterium"
"1678","SRR8146976",0.046464169339036,"omnivore","Turin","VOV70","k__","p__Actinomycetota","c__Actinomycetes","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","g__Bifidobacterium"
"816","SRR8146969",0.0427792167019857,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides"
"1766253","SRR8146973",0.0408532800993019,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","g__Agathobacter"
"816","SRR8146974",0.040748772971122,"vegan","Turin","VOV113","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides"
"375288","SRR8146976",0.0406150939357819,"omnivore","Turin","VOV70","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","Other"
"40544","SRR8146971",0.0320566937946538,"omnivore","Turin","VOV28","k__","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","Other"
"2172004","SRR8146963",0.0281348501819863,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Lawsonibacter","Other"
